date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:58	16503/16503	---M-Z	200	added ('OK')	text/html	etag:W/%2260bb6dbc-4077%22	http://yousf.tk/a7.ae/index.html	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/index.html	(from )
17:04:58	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f99a1ac-247b%22	http://yousf.tk/robots.txt		(from )
17:04:59	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f1a48a3-247b%22	http://yousf.tk/a7.ae/ramadan/favicon.html	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/ramadan/favicon.html	(from http://yousf.tk/a7.ae/index.html)
17:04:59	144877/144877	---M-Z	200	added ('OK')	text/css	etag:W/%2260bb6dbd-235ed%22	http://yousf.tk/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from http://yousf.tk/a7.ae/index.html)
17:05:00	2513/2513	---M-Z	200	added ('OK')	text/css	etag:W/%2260bb6dbc-9d1%22	http://yousf.tk/a7.ae/css/style.css	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/css/style.css	(from http://yousf.tk/a7.ae/index.html)
17:05:05	8813/8813	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-226d%22	http://yousf.tk/a7.ae/img/youtube1.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/youtube1.png	(from http://yousf.tk/a7.ae/index.html)
17:05:07	11381/11381	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-2c75%22	http://yousf.tk/a7.ae/img/twetter1.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/twetter1.png	(from http://yousf.tk/a7.ae/index.html)
17:05:17	62908/62908	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-f5bc%22	http://yousf.tk/a7.ae/img/instagramicon.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/instagramicon.png	(from http://yousf.tk/a7.ae/index.html)
17:05:21	119753/119753	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-1d3c9%22	http://yousf.tk/a7.ae/img/123456.PNG	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/123456.png	(from http://yousf.tk/a7.ae/index.html)
17:05:21	137481/137481	---MC-	200	added ('OK')	text/javascript	date:Sun,%2013%20Jun%202021%2000:05:00%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/dell/Desktop/AbujahlStore/abujahl/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://yousf.tk/a7.ae/index.html)
17:05:22	41470/41470	---M-Z	200	added ('OK')	text/html	etag:W/%2260bb6dbc-a1fe%22	http://yousf.tk/a7.ae/hacking.html	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/hacking.html	(from http://yousf.tk/a7.ae/index.html)
17:05:23	39763/39763	---M-Z	200	added ('OK')	text/html	etag:W/%2260bb6dbd-9b53%22	http://yousf.tk/a7.ae/iphoneapp.html	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/iphoneapp.html	(from http://yousf.tk/a7.ae/index.html)
17:05:34	64184/64184	---M--	200	added ('OK')	image/jpeg	etag:%225e2f3af1-fab8%22	https://image.freepik.com/free-vector/hacker-operating-laptop-icon-hacker-laptop-hacker-technology-icon-white-isolated_138676-494.jpg	C:/Users/dell/Desktop/AbujahlStore/abujahl/image.freepik.com/free-vector/hacker-operating-laptop-icon-hacker-laptop-hacker-technology-icon-white-isolated_138676-494.jpg	(from http://yousf.tk/a7.ae/index.html)
17:05:34	5527/5527	---M-Z	200	added ('OK')	text/html	etag:W/%2260bb6dbd-1597%22	http://yousf.tk/a7.ae/videodownloder.html	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/videodownloder.html	(from http://yousf.tk/a7.ae/index.html)
17:05:35	228903/228903	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-37e27%22	http://yousf.tk/a7.ae/img/yousf.PNG	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/yousf.png	(from http://yousf.tk/a7.ae/index.html)
17:05:37	13943/13943	---M--	200	added ('OK')	image/png	etag:%22d5ef53df5f98317c68b1cd9f4ba35f2a%22	https://cdn.iconscout.com/icon/free/png-256/video-download-2-1151457.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/cdn.iconscout.com/icon/free/png-256/video-download-2-1151457.png	(from http://yousf.tk/a7.ae/index.html)
17:05:51	182457/182457	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-2c8b9%22	http://yousf.tk/a7.ae/img/app.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/app.png	(from http://yousf.tk/a7.ae/index.html)
17:05:56	96283/96283	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Oct%202018%2014:25:44%20GMT	https://thinkmaverick.com/wp-content/uploads/2018/10/tm-logomaker.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/thinkmaverick.com/wp-content/uploads/2018/10/tm-logomaker.png	(from http://yousf.tk/a7.ae/index.html)
17:05:56	8204/8204	---M-Z	200	added ('OK')	text/html	etag:W/%2260bb6dbc-200c%22	http://yousf.tk/a7.ae/appleid.html	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/appleid.html	(from http://yousf.tk/a7.ae/index.html)
17:05:58	6718/6718	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-1a3e%22	http://yousf.tk/a7.ae/img/appleid13.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/appleid13.png	(from http://yousf.tk/a7.ae/index.html)
17:05:58	8306/8306	---M-Z	200	added ('OK')	text/html	etag:W/%2260bb6dbc-2072%22	http://yousf.tk/a7.ae/Shortcuts/index.html	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/Shortcuts/index.html	(from http://yousf.tk/a7.ae/index.html)
17:06:19	127088/127088	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-1f070%22	http://yousf.tk/a7.ae/img/Shortcuts.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/Shortcuts.png	(from http://yousf.tk/a7.ae/index.html)
17:06:20	57204/57204	---M-Z	200	added ('OK')	text/html	etag:W/%2260bb6dbc-df74%22	http://yousf.tk/a7.ae/androidapp.html	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/androidapp.html	(from http://yousf.tk/a7.ae/index.html)
17:06:23	8967/8967	---M--	200	added ('OK')	image/png	etag:%2260bb6dbd-2307%22	http://yousf.tk/a7.ae/mobileweb/google-play.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/mobileweb/google-play.png	(from http://yousf.tk/a7.ae/index.html)
17:06:23	5388/5388	---M-Z	200	added ('OK')	text/html	etag:W/%2260bb6dbc-150c%22	http://yousf.tk/a7.ae/delete%20acount.html	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/delete%20acount.html	(from http://yousf.tk/a7.ae/index.html)
17:06:31	49555/49555	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-c193%22	http://yousf.tk/a7.ae/img/delete.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/delete.png	(from http://yousf.tk/a7.ae/index.html)
17:06:40	52696/52696	---M--	200	added ('OK')	image/jpeg	etag:%2260bb6dbc-cdd8%22	http://yousf.tk/a7.ae/img/malzama.jpg	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/malzama.jpg	(from http://yousf.tk/a7.ae/index.html)
17:06:41	33535/33535	---M-Z	200	added ('OK')	text/html	etag:W/%2260bb6dbd-82ff%22	http://yousf.tk/a7.ae/pcapp.html	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/pcapp.html	(from http://yousf.tk/a7.ae/index.html)
17:06:46	32446/32446	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-7ebe%22	http://yousf.tk/a7.ae/img/pc.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/pc.png	(from http://yousf.tk/a7.ae/index.html)
17:06:48	13107/13107	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-3333%22	http://yousf.tk/a7.ae/img/instagramiconbar.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/instagramiconbar.png	(from http://yousf.tk/a7.ae/index.html)
17:06:50	4501/4501	---M--	200	added ('OK')	image/png	etag:%2260bb6dbd-1195%22	http://yousf.tk/a7.ae/mobileweb/b2.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/mobileweb/b2.png	(from http://yousf.tk/a7.ae/index.html)
17:06:56	405333/405333	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-62f55%22	http://yousf.tk/a7.ae/img/qurankareem.PNG	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/qurankareem.png	(from http://yousf.tk/a7.ae/index.html)
17:06:58	5514/5514	---M--	200	added ('OK')	image/png	etag:%2260bb6dbd-158a%22	http://yousf.tk/a7.ae/mobileweb/b5.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/mobileweb/b5.png	(from http://yousf.tk/a7.ae/index.html)
17:06:58	1242/1242	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-4da%22	http://yousf.tk/a7.ae/Pluss/template/images/instagram.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/Pluss/template/images/instagram.png	(from http://yousf.tk/a7.ae/index.html)
17:06:59	1151/1151	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-47f%22	http://yousf.tk/a7.ae/Pluss/template/images/snapchat.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/Pluss/template/images/snapchat.png	(from http://yousf.tk/a7.ae/index.html)
17:06:59	1069/1069	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-42d%22	http://yousf.tk/a7.ae/Pluss/template/images/Twitter.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/Pluss/template/images/Twitter.png	(from http://yousf.tk/a7.ae/index.html)
17:07:00	1051/1051	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-41b%22	http://yousf.tk/a7.ae/Pluss/template/images/YouTube.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/Pluss/template/images/YouTube.png	(from http://yousf.tk/a7.ae/index.html)
17:07:05	84320/84320	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260bb6dbd-14960%22	http://yousf.tk/a7.ae/js/jquery.min.js	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/js/jquery.min.js	(from http://yousf.tk/a7.ae/index.html)
17:07:06	4734/4734	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260bb6dbd-127e%22	http://yousf.tk/www.snapchat.com/deeplink/static/js/deeplinke117.js?x=0	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/www.snapchat.com/deeplink/static/js/deeplinke117e117.js	(from http://yousf.tk/a7.ae/index.html)
17:07:12	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260bb6dbd-1538f%22	http://yousf.tk/code.jquery.com/jquery-3.3.1.min.js	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/code.jquery.com/jquery-3.3.1.min.js	(from http://yousf.tk/a7.ae/index.html)
17:07:12	144959/144959	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-2363f%22	http://yousf.tk/a7.ae/img/streak.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/streak.png	(from http://yousf.tk/a7.ae/index.html)
17:07:13	423/423	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260bb6dbd-1a7%22	http://yousf.tk/a7.ae/js/js.js	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/js/js.js	(from http://yousf.tk/a7.ae/index.html)
17:07:15	638530/638530	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-9be42%22	http://yousf.tk/a7.ae/img/islam.PNG	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/islam.png	(from http://yousf.tk/a7.ae/index.html)
17:08:19	810311/810311	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-c5d47%22	http://yousf.tk/a7.ae/img/bb.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/img/bb.png	(from http://yousf.tk/a7.ae/css/style.css)
17:11:43	6576633/6576633	---M--	200	added ('OK')	image/png	etag:%2260bb6dbd-6459f9%22	http://yousf.tk/a7.ae/mobileweb/yousfl.PNG	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/mobileweb/yousfl.png	(from http://yousf.tk/a7.ae/index.html)
17:11:43	18669/18669	---M-Z	200	added ('OK')	text/css	etag:W/%2260bb6dbd-48ed%22	http://yousf.tk/a7.ae/mobileweb/menes.css	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/mobileweb/menes.css	(from http://yousf.tk/a7.ae/hacking.html)
17:11:44	4079/4079	---M-Z	200	added ('OK')	text/css	etag:W/%2260bb6dbd-fef%22	http://yousf.tk/a7.ae/mobileweb/style.css	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/mobileweb/style.css	(from http://yousf.tk/a7.ae/hacking.html)
17:11:44	12075/12075	---M--	200	added ('OK')	image/png	etag:%2260bb6dbc-2f2b%22	http://yousf.tk/a7.ae/LOGO0.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/LOGO0.png	(from http://yousf.tk/a7.ae/hacking.html)
17:11:44	262/262	---M--	200	added ('OK')	image/png	etag:%2260bb6dbd-106%22	http://yousf.tk/a7.ae/ppll.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/ppll.png	(from http://yousf.tk/a7.ae/hacking.html)
17:11:45	17703/17703	---M--	200	added ('OK')	image/png	etag:61463765cbe445f234b47d406c14df32	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Apple_logo_black.svg/862px-Apple_logo_black.svg.png	C:/Users/dell/Desktop/AbujahlStore/abujahl/upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Apple_logo_black.svg/862px-Apple_logo_black.svg.png	(from http://yousf.tk/a7.ae/hacking.html)
17:11:45	9267/9267	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Mar%202019%2007:24:02%20GMT	https://www.technipages.com/wp-content/uploads/2015/03/Android-Messages-Icon.jpg	C:/Users/dell/Desktop/AbujahlStore/abujahl/www.technipages.com/wp-content/uploads/2015/03/Android-Messages-Icon.jpg	(from http://yousf.tk/a7.ae/hacking.html)
17:11:46	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	http://yousf.tk/a7.ae/itms-services://?action=download-manifest&url=https://tweakdoor.com/down/ipa/aHR0cHM6Ly9hcmNoaXZlLm9yZy9kb3dubG9hZC92aWRlby1zdGFyLTIxNTk0MTYyMDkyODk2NS9WaWRlb19TdGFyLTIxNTk0MTYyMDkyODk2NS5pcGE/app/video+Star%2B%2B	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/itms-services_/indexc6a5.html	(from http://yousf.tk/a7.ae/iphoneapp.html)
17:11:46	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	http://yousf.tk/a7.ae/itms-services://?action=download-manifest&url=https://app.app-valley.vip/plists/1657/install.plist	C:/Users/dell/Desktop/AbujahlStore/abujahl/yousf.tk/a7.ae/itms-services_/index88bf.html	(from http://yousf.tk/a7.ae/iphoneapp.html)
